#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2016-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid, tmpf ,  dwpf ,  drct ,  sknt ,  p01m ,  presentwx
CMI,2016-01-04 13:53,23.00,17.96,310.00,7.00,0.00,M
CMI,2016-01-04 14:53,26.96,19.04,340.00,11.00,0.00,M
CMI,2016-01-04 15:53,30.02,19.94,350.00,14.00,0.00,M
CMI,2016-01-04 16:53,32.00,17.96,360.00,13.00,0.00,M
CMI,2016-01-04 17:53,33.98,17.96,350.00,13.00,0.00,M
CMI,2016-01-04 18:53,33.98,14.00,20.00,10.00,0.00,M
CMI,2016-01-04 19:53,33.98,15.98,360.00,8.00,0.00,M
CMI,2016-01-04 20:53,32.00,17.06,350.00,5.00,0.00,M
CMI,2016-01-04 21:53,32.00,21.02,10.00,10.00,0.00,M
CMI,2016-01-04 22:11,32.00,21.92,10.00,9.00,0.00,M
CMI,2016-01-04 22:29,32.00,21.02,20.00,11.00,0.00,M
CMI,2016-01-04 22:53,30.92,21.02,10.00,8.00,0.00,M
CMI,2016-01-04 23:53,30.02,21.02,30.00,8.00,0.00,M
CMI,2016-01-05 00:53,30.02,19.04,30.00,7.00,0.00,M
CMI,2016-01-05 01:53,28.94,19.04,50.00,6.00,0.00,M
CMI,2016-01-05 02:53,28.94,17.96,60.00,10.00,0.00,M
CMI,2016-01-05 03:53,26.96,17.96,50.00,8.00,0.00,M
CMI,2016-01-05 04:53,24.08,17.96,70.00,9.00,0.00,M
CMI,2016-01-05 05:53,21.92,17.06,70.00,6.00,0.00,M
CMI,2016-01-05 06:53,19.94,15.98,70.00,7.00,0.00,M
CMI,2016-01-05 07:53,19.94,15.98,90.00,6.00,0.00,M
CMI,2016-01-05 08:53,19.94,15.98,90.00,7.00,0.00,M
CMI,2016-01-05 09:53,19.04,15.08,100.00,6.00,0.00,M
CMI,2016-01-05 10:53,19.94,17.06,110.00,7.00,0.00,M
CMI,2016-01-05 11:53,19.04,15.98,120.00,5.00,0.00,M
CMI,2016-01-05 12:53,19.94,17.06,130.00,7.00,0.00,M
CMI,2016-01-05 13:53,21.92,19.04,130.00,8.00,0.00,M
CMI,2016-01-05 14:53,26.96,21.92,150.00,13.00,0.00,M
CMI,2016-01-05 15:53,30.02,23.00,160.00,13.00,0.00,M
CMI,2016-01-05 16:53,32.00,23.00,170.00,14.00,0.00,M
CMI,2016-01-05 17:53,33.08,23.00,170.00,10.00,0.00,M
CMI,2016-01-05 18:53,35.06,21.92,180.00,11.00,0.00,M
CMI,2016-01-05 19:53,35.06,21.92,180.00,9.00,0.00,M
CMI,2016-01-05 20:53,35.06,21.92,170.00,9.00,0.00,M
CMI,2016-01-05 21:53,33.08,21.02,150.00,9.00,0.00,M
CMI,2016-01-05 22:53,30.92,21.92,150.00,7.00,0.00,M
CMI,2016-01-05 23:53,28.94,21.92,140.00,8.00,0.00,M
CMI,2016-01-06 00:53,28.04,21.02,150.00,8.00,0.00,M
CMI,2016-01-06 01:53,28.04,21.02,150.00,8.00,0.00,M
CMI,2016-01-06 02:53,26.96,19.94,140.00,8.00,0.00,M
CMI,2016-01-06 03:53,26.06,19.94,150.00,6.00,0.00,M
CMI,2016-01-06 04:53,24.98,19.04,170.00,6.00,0.00,M
CMI,2016-01-06 05:53,24.08,17.06,140.00,5.00,0.00,M
CMI,2016-01-06 06:53,24.08,17.96,150.00,5.00,0.00,M
CMI,2016-01-06 07:53,21.92,19.04,130.00,6.00,0.00,M
CMI,2016-01-06 08:53,24.98,17.96,160.00,7.00,0.00,M
CMI,2016-01-06 09:53,24.08,17.96,150.00,6.00,0.00,M
CMI,2016-01-06 10:53,21.92,17.96,140.00,6.00,0.00,M
CMI,2016-01-06 11:53,24.08,17.96,150.00,6.00,0.00,M
CMI,2016-01-06 12:53,24.08,19.04,150.00,6.00,0.00,M
CMI,2016-01-06 13:53,24.98,19.04,140.00,8.00,0.00,M
CMI,2016-01-06 14:53,28.94,21.92,160.00,11.00,0.00,M
CMI,2016-01-06 15:53,32.00,24.08,170.00,12.00,0.00,M
CMI,2016-01-06 16:53,35.06,26.06,170.00,12.00,0.00,M
CMI,2016-01-06 17:53,37.04,24.98,170.00,12.00,0.00,M
CMI,2016-01-06 18:53,37.94,26.06,170.00,10.00,0.00,M
CMI,2016-01-06 19:53,39.92,24.98,180.00,13.00,0.00,M
CMI,2016-01-06 20:53,39.02,26.06,170.00,11.00,0.00,M
CMI,2016-01-06 21:53,37.94,26.96,160.00,6.00,0.00,M
CMI,2016-01-06 22:53,35.06,26.06,140.00,7.00,0.00,M
CMI,2016-01-06 23:53,35.06,26.06,140.00,6.00,0.00,M
CMI,2016-01-07 00:53,32.00,26.06,150.00,5.00,0.00,M
CMI,2016-01-07 01:53,33.08,26.96,130.00,6.00,0.00,M
CMI,2016-01-07 02:53,33.08,26.96,140.00,5.00,0.00,M
CMI,2016-01-07 03:53,33.98,26.06,140.00,7.00,0.00,M
CMI,2016-01-07 04:53,33.98,24.98,150.00,7.00,0.00,M
CMI,2016-01-07 05:53,35.06,23.00,160.00,8.00,0.00,M
CMI,2016-01-07 06:53,35.06,23.00,160.00,8.00,0.00,M
CMI,2016-01-07 07:53,35.06,23.00,150.00,8.00,0.00,M
CMI,2016-01-07 08:53,35.06,24.08,150.00,7.00,0.00,M
CMI,2016-01-07 09:53,33.98,24.98,130.00,6.00,0.00,M
CMI,2016-01-07 10:53,33.98,26.96,130.00,5.00,0.00,UP
CMI,2016-01-07 11:53,33.98,26.96,130.00,5.00,0.00,M
CMI,2016-01-07 12:53,33.08,26.96,110.00,7.00,0.00,M
CMI,2016-01-07 13:53,33.98,26.96,120.00,7.00,0.00,M
CMI,2016-01-07 14:53,35.96,26.96,120.00,8.00,0.00,M
CMI,2016-01-07 15:53,37.04,26.96,120.00,8.00,0.00,M
CMI,2016-01-07 16:53,37.94,28.04,130.00,9.00,0.00,M
CMI,2016-01-07 17:53,46.04,30.92,160.00,10.00,0.00,M
CMI,2016-01-07 18:53,46.04,30.92,160.00,10.00,0.00,M
CMI,2016-01-07 19:53,48.02,33.08,160.00,10.00,0.00,M
CMI,2016-01-07 20:53,46.94,33.08,140.00,10.00,0.00,M
CMI,2016-01-07 21:53,42.98,33.98,130.00,8.00,0.00,M
CMI,2016-01-07 22:53,37.94,32.00,120.00,8.00,0.00,M
CMI,2016-01-07 23:53,39.02,33.08,120.00,8.00,0.00,M
CMI,2016-01-08 00:53,39.02,33.08,120.00,9.00,0.00,M
CMI,2016-01-08 01:53,41.00,33.08,140.00,11.00,0.00,M
CMI,2016-01-08 02:53,41.00,33.08,140.00,8.00,0.00,M
CMI,2016-01-08 03:53,39.02,33.98,130.00,10.00,0.00,-RA
CMI,2016-01-08 04:07,39.92,35.06,120.00,8.00,0.00,-RA
CMI,2016-01-08 04:53,39.92,35.06,110.00,8.00,0.00,M
CMI,2016-01-08 05:11,39.92,35.06,120.00,10.00,0.00,M
CMI,2016-01-08 05:53,39.92,35.96,120.00,10.00,0.00,-RA
CMI,2016-01-08 06:53,39.02,35.96,110.00,10.00,0.51,-RA
CMI,2016-01-08 07:43,39.92,35.96,110.00,9.00,0.00,M
CMI,2016-01-08 07:53,39.92,35.96,110.00,9.00,0.00,-RA
CMI,2016-01-08 08:27,39.92,35.96,110.00,8.00,0.00,M
CMI,2016-01-08 08:37,39.92,35.96,100.00,8.00,0.00,M
CMI,2016-01-08 08:53,39.92,37.04,100.00,7.00,0.00,M
CMI,2016-01-08 09:09,39.92,37.04,100.00,7.00,0.00,M
CMI,2016-01-08 09:39,39.92,37.04,100.00,7.00,0.00,M
CMI,2016-01-08 09:53,39.92,37.04,110.00,8.00,0.00,M
CMI,2016-01-08 10:02,39.92,37.04,110.00,9.00,0.00,M
CMI,2016-01-08 10:53,39.92,37.04,110.00,7.00,0.51,RA BR
CMI,2016-01-08 11:53,39.92,37.04,120.00,7.00,1.52,-RA
CMI,2016-01-08 12:53,41.00,37.94,130.00,8.00,0.00,M
CMI,2016-01-08 13:46,41.00,39.02,120.00,9.00,0.00,BR
CMI,2016-01-08 13:53,41.00,39.02,120.00,9.00,0.00,BR
CMI,2016-01-08 14:15,41.00,39.92,130.00,7.00,0.00,FG
CMI,2016-01-08 14:30,41.00,39.92,130.00,7.00,0.00,FG
CMI,2016-01-08 14:42,41.00,39.92,140.00,7.00,0.00,FG
CMI,2016-01-08 14:53,42.08,41.00,140.00,7.00,0.00,FG
CMI,2016-01-08 15:53,44.96,44.06,160.00,9.00,0.00,FG
CMI,2016-01-08 16:06,44.96,44.06,170.00,11.00,0.00,FG
CMI,2016-01-08 16:21,46.04,44.96,170.00,10.00,0.00,BR
CMI,2016-01-08 16:53,46.04,44.96,180.00,10.00,0.00,BR
CMI,2016-01-08 17:53,46.94,44.96,180.00,9.00,0.00,BR
CMI,2016-01-08 18:53,46.94,44.96,180.00,11.00,0.25,-RA BR
CMI,2016-01-08 19:53,46.94,46.04,190.00,10.00,0.00,-RA BR
CMI,2016-01-08 20:29,46.94,46.04,190.00,12.00,0.00,-RA BR
CMI,2016-01-08 20:36,46.94,46.04,190.00,12.00,0.25,-RA BR
CMI,2016-01-08 20:53,46.94,44.96,190.00,11.00,0.25,BR
CMI,2016-01-08 21:31,46.94,44.96,190.00,11.00,0.00,M
CMI,2016-01-08 21:53,46.94,44.96,190.00,12.00,0.00,M
CMI,2016-01-08 22:53,46.94,44.96,190.00,11.00,0.00,M
CMI,2016-01-08 22:55,46.94,44.96,190.00,10.00,0.00,M
CMI,2016-01-08 22:57,46.94,44.96,190.00,10.00,0.00,M
CMI,2016-01-08 23:53,46.94,44.96,190.00,12.00,0.00,M
CMI,2016-01-09 00:29,46.04,44.96,190.00,10.00,0.25,-RA
CMI,2016-01-09 00:51,46.40,44.60,190.00,12.00,0.25,M
CMI,2016-01-09 00:53,46.94,44.96,190.00,13.00,0.25,M
CMI,2016-01-09 01:19,46.94,44.96,210.00,12.00,0.00,-RA
CMI,2016-01-09 01:39,46.94,44.96,220.00,12.00,0.25,-RA BR
CMI,2016-01-09 01:49,46.40,44.60,220.00,12.00,0.25,M
CMI,2016-01-09 01:53,46.94,44.96,220.00,11.00,0.25,M
CMI,2016-01-09 02:53,46.04,42.98,230.00,11.00,0.00,M
CMI,2016-01-09 03:53,44.06,42.08,220.00,8.00,0.00,M
CMI,2016-01-09 04:53,44.06,41.00,240.00,9.00,0.00,M
CMI,2016-01-09 05:53,44.06,41.00,230.00,7.00,0.00,M
CMI,2016-01-09 06:40,44.06,41.00,260.00,8.00,0.00,M
CMI,2016-01-09 06:53,44.06,41.00,260.00,9.00,0.00,M
CMI,2016-01-09 07:53,42.98,41.00,250.00,13.00,0.00,M
CMI,2016-01-09 08:53,42.08,39.02,240.00,10.00,0.00,M
CMI,2016-01-09 09:53,42.08,39.02,260.00,8.00,0.00,M
CMI,2016-01-09 10:53,41.00,37.94,270.00,6.00,0.00,M
CMI,2016-01-09 11:53,39.92,37.94,290.00,7.00,0.00,M
CMI,2016-01-09 12:43,39.92,37.94,0.00,0.00,0.00,M
CMI,2016-01-09 12:53,39.92,37.94,220.00,4.00,0.00,M
CMI,2016-01-09 13:07,39.92,37.94,210.00,6.00,0.00,M
CMI,2016-01-09 13:53,39.92,37.94,0.00,0.00,0.00,M
CMI,2016-01-09 14:53,39.92,37.04,310.00,4.00,0.00,M
CMI,2016-01-09 15:24,39.92,37.94,330.00,7.00,0.00,BR
CMI,2016-01-09 15:31,39.92,37.94,330.00,7.00,0.00,BR
CMI,2016-01-09 15:53,39.92,37.94,340.00,6.00,0.00,BR
CMI,2016-01-09 16:53,39.92,37.94,350.00,7.00,1.78,-RA BR
CMI,2016-01-09 17:12,39.92,37.94,10.00,6.00,0.25,RA BR
CMI,2016-01-09 17:28,39.92,37.94,360.00,7.00,1.02,-RA BR
CMI,2016-01-09 17:39,39.92,37.94,350.00,5.00,1.27,-RA BR
CMI,2016-01-09 17:53,39.92,37.94,360.00,7.00,2.03,RA BR
CMI,2016-01-09 18:02,39.92,37.94,350.00,6.00,0.51,RA BR
CMI,2016-01-09 18:45,39.02,37.04,10.00,12.00,2.29,RA BR
CMI,2016-01-09 18:53,39.02,37.04,10.00,10.00,2.54,-RA BR
CMI,2016-01-09 19:53,39.02,35.96,350.00,11.00,0.76,RA BR
CMI,2016-01-09 20:53,37.04,35.06,320.00,13.00,1.27,RA BR
CMI,2016-01-09 21:53,35.06,33.08,320.00,14.00,1.02,-RA BR
CMI,2016-01-09 22:29,33.98,32.00,310.00,14.00,0.25,-RA BR
CMI,2016-01-09 22:53,33.98,32.00,320.00,16.00,0.25,-RA BR
CMI,2016-01-09 23:08,33.98,32.00,330.00,18.00,0.00,-RA BR
CMI,2016-01-09 23:53,33.08,30.92,330.00,19.00,0.00,-RA
CMI,2016-01-10 00:53,32.00,28.04,330.00,21.00,0.00,M
CMI,2016-01-10 01:53,30.02,26.96,320.00,20.00,0.00,M
CMI,2016-01-10 02:53,28.94,24.98,310.00,22.00,0.00,-SN BR
CMI,2016-01-10 03:53,26.96,23.00,310.00,21.00,0.00,-SN
CMI,2016-01-10 04:53,24.98,21.02,320.00,25.00,0.00,M
CMI,2016-01-10 05:53,23.00,17.96,320.00,25.00,0.00,M
CMI,2016-01-10 06:11,21.92,17.06,310.00,22.00,0.00,M
CMI,2016-01-10 06:53,19.94,15.98,310.00,26.00,0.00,M
CMI,2016-01-10 07:53,19.04,15.08,310.00,26.00,0.00,UP
CMI,2016-01-10 08:53,17.96,12.02,310.00,26.00,0.00,-SN
CMI,2016-01-10 09:53,17.06,12.02,300.00,25.00,0.00,-SN
CMI,2016-01-10 10:49,15.80,8.60,310.00,22.00,0.00,-SN
CMI,2016-01-10 10:53,15.08,8.96,300.00,23.00,0.00,-SN
CMI,2016-01-10 11:53,14.00,8.96,300.00,25.00,0.00,-SN
CMI,2016-01-10 12:53,12.92,6.98,300.00,24.00,0.00,-SN
CMI,2016-01-10 13:53,12.02,6.08,300.00,23.00,0.00,UP
CMI,2016-01-10 14:53,10.94,5.00,290.00,21.00,0.00,-SN
CMI,2016-01-10 14:57,10.94,5.00,290.00,22.00,0.00,-SN
CMI,2016-01-10 15:05,10.04,3.92,290.00,20.00,0.00,-SN
CMI,2016-01-10 15:53,10.04,3.92,290.00,19.00,0.00,-SN
CMI,2016-01-10 16:53,8.96,3.02,290.00,21.00,0.00,UP
CMI,2016-01-10 17:23,8.96,3.02,280.00,21.00,0.00,M
CMI,2016-01-10 17:53,8.96,1.94,280.00,19.00,0.00,M
CMI,2016-01-10 18:12,10.04,3.02,290.00,19.00,0.00,M
CMI,2016-01-10 18:53,10.04,3.92,280.00,18.00,0.00,M
CMI,2016-01-10 19:53,10.94,3.92,280.00,19.00,0.00,M
CMI,2016-01-10 20:44,12.02,3.02,280.00,18.00,0.00,M
CMI,2016-01-10 20:53,12.02,5.00,270.00,17.00,0.00,M
CMI,2016-01-10 21:13,12.02,3.92,270.00,18.00,0.00,M
CMI,2016-01-10 21:24,10.94,3.02,270.00,17.00,0.00,M
CMI,2016-01-10 21:53,10.94,1.94,280.00,18.00,0.00,M
CMI,2016-01-10 22:53,8.96,1.04,260.00,16.00,0.00,M
CMI,2016-01-10 23:53,8.96,-0.04,270.00,18.00,0.00,M
CMI,2016-01-11 00:53,8.96,1.04,260.00,13.00,0.00,M
CMI,2016-01-11 01:53,8.96,1.94,260.00,13.00,0.00,M
CMI,2016-01-11 02:53,8.96,1.94,260.00,14.00,0.00,M
CMI,2016-01-11 03:53,8.96,1.94,260.00,11.00,0.00,M
CMI,2016-01-11 04:53,8.96,1.94,260.00,9.00,0.00,M
CMI,2016-01-11 05:53,8.96,1.04,250.00,10.00,0.00,M
CMI,2016-01-11 06:53,8.96,3.02,260.00,8.00,0.00,M
CMI,2016-01-11 07:53,10.04,3.92,270.00,9.00,0.00,M
CMI,2016-01-11 08:53,10.94,3.92,260.00,6.00,0.00,M
CMI,2016-01-11 09:53,12.02,6.08,250.00,7.00,0.00,M
CMI,2016-01-11 10:53,12.92,6.98,200.00,8.00,0.00,M
CMI,2016-01-11 11:02,12.92,8.06,200.00,8.00,0.00,M
CMI,2016-01-11 11:53,14.00,8.06,210.00,8.00,0.00,M
CMI,2016-01-11 12:53,15.08,8.96,200.00,11.00,0.00,M
CMI,2016-01-11 13:53,15.08,10.04,190.00,11.00,0.00,M
CMI,2016-01-11 14:19,15.98,10.94,170.00,11.00,0.00,M
CMI,2016-01-11 14:53,17.06,12.02,180.00,12.00,0.00,M
CMI,2016-01-11 15:53,21.02,14.00,170.00,11.00,0.00,M
CMI,2016-01-11 16:53,24.08,15.08,180.00,16.00,0.00,M
CMI,2016-01-11 17:53,24.98,15.08,180.00,15.00,0.00,M
CMI,2016-01-11 18:53,26.96,17.06,170.00,14.00,0.00,M
CMI,2016-01-11 19:53,28.04,17.96,180.00,15.00,0.00,M
CMI,2016-01-11 20:53,28.94,17.96,180.00,17.00,0.00,M
CMI,2016-01-11 21:53,28.94,19.04,180.00,14.00,0.00,M
CMI,2016-01-11 22:53,28.94,21.02,180.00,11.00,0.00,M
CMI,2016-01-11 23:03,28.94,21.02,180.00,13.00,0.00,-SN
CMI,2016-01-11 23:53,28.94,21.92,180.00,11.00,0.00,-SN
CMI,2016-01-12 00:53,28.94,23.00,180.00,12.00,0.00,-SN
CMI,2016-01-12 01:53,30.02,24.98,210.00,12.00,0.00,-SN
CMI,2016-01-12 02:07,30.02,24.98,210.00,12.00,0.00,-SN
CMI,2016-01-12 02:53,30.92,26.06,230.00,15.00,0.00,-SN
CMI,2016-01-12 03:04,30.92,26.06,240.00,15.00,0.00,-SN
CMI,2016-01-12 03:53,30.92,24.98,230.00,13.00,0.00,M
CMI,2016-01-12 04:53,32.00,24.98,240.00,17.00,0.00,M
CMI,2016-01-12 05:53,32.00,23.00,250.00,26.00,0.00,UP
CMI,2016-01-12 06:53,30.02,21.02,260.00,26.00,0.00,M
CMI,2016-01-12 07:53,28.04,17.96,270.00,17.00,0.00,M
CMI,2016-01-12 08:53,28.04,19.94,250.00,10.00,0.00,M
CMI,2016-01-12 09:53,28.04,21.02,230.00,14.00,0.00,-SN
CMI,2016-01-12 10:31,28.04,23.00,230.00,16.00,0.00,M
CMI,2016-01-12 10:53,28.94,24.08,240.00,16.00,0.00,-SN
CMI,2016-01-12 11:12,30.02,24.08,260.00,24.00,0.00,M
CMI,2016-01-12 11:36,30.02,24.08,270.00,23.00,0.00,-SN
CMI,2016-01-12 11:44,28.04,24.08,290.00,16.00,0.00,-SN BR
CMI,2016-01-12 11:46,28.04,23.00,290.00,18.00,0.00,-SN
CMI,2016-01-12 11:53,28.04,21.92,300.00,19.00,0.00,M
CMI,2016-01-12 12:29,26.06,19.04,300.00,25.00,0.00,-SN
CMI,2016-01-12 12:53,19.94,12.92,310.00,24.00,0.00,M
CMI,2016-01-12 13:53,15.08,8.06,300.00,22.00,0.00,UP
CMI,2016-01-12 14:33,14.00,5.00,300.00,20.00,0.00,M
CMI,2016-01-12 14:53,12.02,1.94,310.00,23.00,0.00,UP
CMI,2016-01-12 15:11,12.92,1.04,300.00,26.00,0.00,M
CMI,2016-01-12 15:53,12.92,1.94,290.00,20.00,0.00,M
CMI,2016-01-12 16:53,14.00,1.94,300.00,21.00,0.00,M
CMI,2016-01-12 17:53,15.98,3.02,320.00,19.00,0.00,M
CMI,2016-01-12 18:53,15.98,5.00,300.00,14.00,0.00,M
CMI,2016-01-12 19:53,17.06,5.00,280.00,20.00,0.00,M
CMI,2016-01-12 20:53,17.06,5.00,280.00,17.00,0.00,M
CMI,2016-01-12 21:53,15.08,3.92,280.00,15.00,0.00,M
CMI,2016-01-12 22:53,12.92,3.92,280.00,15.00,0.00,M
CMI,2016-01-12 23:53,12.02,3.02,270.00,16.00,0.00,M
CMI,2016-01-13 00:53,10.94,3.92,270.00,11.00,0.00,M
CMI,2016-01-13 01:53,10.04,3.02,290.00,10.00,0.00,M
