Hourly Obs
Month/Year: 08/2015
Station Location: CHICAGO O'HARE INTERNATIONAL AIRPORT (94846)
Lat: 41.995
Lon: -87.933
Elev: 662 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
94846,20150801,1651,11,SCT060 BKN250, ,10.00, , , ,84, ,28.9, ,69, ,20.3, ,60, ,15.6, , 44, ,18, ,270, ,24, ,29.18, , , , , ,29.88, ,AA, , , ,29.90, 
94846,20150801,1751,11,SCT055 BKN250, ,10.00, , , ,83, ,28.3, ,69, ,20.4, ,61, ,16.1, , 48, ,16, ,240, ,21, ,29.17, , , , , ,29.87, ,AA, , , ,29.89, 
94846,20150801,1851,11,SCT055 BKN250, ,10.00, , , ,81, ,27.2, ,68, ,20.1, ,61, ,16.1, , 51, ,13, ,250, , , ,29.17, , , , , ,29.87, ,AA, , , ,29.89, 
94846,20150801,1951,11,FEW055 BKN250, ,10.00, , , ,79, ,26.1, ,68, ,20.0, ,62, ,16.7, , 56, ,10, ,250, , , ,29.18, , , , , ,29.88, ,AA, , , ,29.90, 
94846,20150801,2051,11,FEW250, ,10.00, , , ,77, ,25.0, ,68, ,20.0, ,63, ,17.2, , 62, , 8, ,240, , , ,29.18, , , , , ,29.88, ,AA, , , ,29.90, 
94846,20150801,2151,11,CLR, ,10.00, , , ,76, ,24.4, ,68, ,20.1, ,64, ,17.8, , 67, , 8, ,250, , , ,29.17, , , , , ,29.88, ,AA, , , ,29.89, 
94846,20150801,2251,11,CLR, ,10.00, , , ,75, ,23.9, ,69, ,20.3, ,65, ,18.3, , 71, , 9, ,250, , , ,29.17, , , , , ,29.87, ,AA, , , ,29.89, 
94846,20150801,2351,11,CLR, ,10.00, , , ,74, ,23.3, ,68, ,20.1, ,65, ,18.3, , 74, , 8, ,240, , , ,29.17, , , , , ,29.87, ,AA, , , ,29.89, 
94846,20150802,0051,11,SCT130, ,10.00, , , ,73, ,22.8, ,68, ,19.9, ,65, ,18.3, , 76, , 9, ,250, , , ,29.16, , , , , ,29.87, ,AA, , , ,29.88, 
94846,20150802,0151,11,FEW130, ,10.00, , , ,72, ,22.2, ,68, ,20.0, ,66, ,18.9, , 82, ,11, ,250, , , ,29.15, , , , , ,29.85, ,AA, , , ,29.87, 
94846,20150802,0251,11,FEW130, ,10.00, , , ,72, ,22.2, ,69, ,20.4, ,67, ,19.4, , 84, ,10, ,240, , , ,29.14, , , , , ,29.85, ,AA, , , ,29.86, 
94846,20150802,0351,11,SCT130, ,10.00, , , ,72, ,22.2, ,69, ,20.4, ,67, ,19.4, , 84, ,10, ,250, , , ,29.14, , , , , ,29.84, ,AA, , , ,29.86, 
94846,20150802,0451,11,SCT130, ,10.00, , , ,72, ,22.2, ,69, ,20.4, ,67, ,19.4, , 84, , 8, ,230, , , ,29.13, , , , , ,29.83, ,AA, , , ,29.85, 
94846,20150802,0551,11,FEW130 FEW350, ,10.00, , , ,72, ,22.2, ,69, ,20.4, ,67, ,19.4, , 84, ,10, ,210, , , ,29.13, , , , , ,29.83, ,AA, , , ,29.85, 
94846,20150802,0651,11,FEW130 FEW350, ,10.00, , , ,74, ,23.3, ,69, ,20.7, ,67, ,19.4, , 79, , 9, ,220, , , ,29.12, , , , , ,29.83, ,AA, , , ,29.84, 
94846,20150802,0751,11,FEW150 SCT350, ,10.00, , , ,80, ,26.7, ,70, ,21.2, ,65, ,18.3, , 60, ,16, ,240, ,25, ,29.12, , , , , ,29.82, ,AA, , , ,29.84, 
94846,20150802,0851,11,FEW040 FEW150 FEW350, ,10.00, , , ,82, ,27.8, ,68, ,20.0, ,60, ,15.6, , 47, ,21, ,240, ,29, ,29.10, , , , , ,29.80, ,AA, , , ,29.82, 
94846,20150802,0951,11,FEW150 FEW350, ,10.00, , , ,85, ,29.4, ,71, ,21.7, ,64, ,17.8, , 49, ,16, ,250, ,24, ,29.09, , , , , ,29.80, ,AA, , , ,29.81, 
94846,20150802,1051,11,FEW060 FEW350, ,10.00, , , ,88, ,31.1, ,71, ,21.9, ,63, ,17.2, , 43, ,20, ,230, ,30, ,29.07, , , , , ,29.77, ,AA, , , ,29.79, 
94846,20150802,1151,11,FEW060 FEW150 SCT250, ,10.00, , , ,89, ,31.7, ,72, ,22.0, ,63, ,17.2, , 42, ,14, ,240, ,31, ,29.06, , , , , ,29.76, ,AA, , , ,29.78, 
94846,20150802,1251,11,FEW060 FEW250, ,10.00, , , ,90, ,32.2, ,74, ,23.1, ,66, ,18.9, , 45, ,20, ,240, ,33, ,29.03, , , , , ,29.72, ,AA, , , ,29.75, 
94846,20150802,1329,11,FEW050CB SCT070, ,10.00, , , ,88, ,31.1, ,74, ,23.1, ,67, ,19.4, , 50, ,20, ,230, ,28, ,29.02, , , , , ,M, ,SP, , , ,29.74, 
94846,20150802,1343,11,SCT050CB SCT070, , 2.00, , , ,80, ,26.7, ,74, ,23.2, ,71, ,21.7, , 74, ,18, ,250, ,52, ,29.04, , , , , ,M, ,SP, , , ,29.76, 
94846,20150802,1347,11,FEW012 SCT050CB, , 5.00, , , ,75, ,24.0, ,72, ,22.0, ,70, ,21.0, , 85, ,14, ,240, ,52, ,29.03, , , , , ,M, ,SP, , , ,29.75, 
94846,20150802,1351,11,FEW012 SCT050CB, ,10.00, ,-TSRA, ,78, ,25.6, ,72, ,22.2, ,69, ,20.6, , 74, ,11, ,240, ,36, ,29.03, , , , , ,29.73, ,AA, ,0.12, ,29.75, 
94846,20150802,1409,11,FEW050CB SCT070, ,10.00, , , ,79, ,26.1, ,75, ,23.8, ,73, ,22.8, , 82, ,10, ,200, , , ,29.02, , , , , ,M, ,SP, , , ,29.74, 
94846,20150802,1451,11,FEW035 FEW055 SCT200, ,10.00, , , ,87, ,30.6, ,76, ,24.6, ,72, ,22.2, , 61, ,18, ,210, ,25, ,28.99, , , , , ,29.70, ,AA, , , ,29.71, 
94846,20150802,1551,11,FEW045 FEW250, ,10.00, , , ,89, ,31.7, ,75, ,23.9, ,69, ,20.6, , 52, ,23, ,240, ,34, ,28.96, , , , , ,29.66, ,AA, , , ,29.68, 
94846,20150802,1651,11,FEW045 FEW250, ,10.00, , , ,89, ,31.7, ,75, ,23.9, ,69, ,20.6, , 52, ,16, ,230, ,32, ,28.93, , , , , ,29.63, ,AA, , , ,29.65, 
94846,20150802,1751,11,SCT045 BKN250, ,10.00, , , ,87, ,30.6, ,75, ,24.0, ,70, ,21.1, , 57, ,20, ,240, ,36, ,28.95, , , , , ,29.65, ,AA, , , ,29.66, 
94846,20150802,1851,11,FEW045 SCT150 BKN250, ,10.00, , , ,86, ,30.0, ,76, ,24.1, ,71, ,21.7, , 61, ,18, ,240, ,31, ,28.95, , , , , ,29.64, ,AA, , , ,29.66, 
94846,20150802,1951,11,SCT040 SCT060 BKN200, ,10.00, , , ,85, ,29.4, ,75, ,23.6, ,70, ,21.1, , 61, ,14, ,220, ,26, ,28.93, , , , , ,29.63, ,AA, , , ,29.65, 
94846,20150802,2051,11,FEW045 SCT060 BKN200, ,10.00, , , ,84, ,28.9, ,75, ,23.8, ,71, ,21.7, , 65, ,11, ,230, ,23, ,28.95, , , , , ,29.65, ,AA, , , ,29.67, 
94846,20150802,2119,11,FEW025CB SCT060, ,10.00, , , ,83, ,28.3, ,75, ,24.0, ,72, ,22.2, , 70, ,16, ,220, ,23, ,28.95, , , , , ,M, ,SP, , , ,29.66, 
94846,20150802,2143,11,FEW025CB SCT041, ,10.00, , , ,73, ,23.0, ,67, ,19.5, ,64, ,18.0, , 74, ,22, ,010, ,32, ,28.97, , , , , ,M, ,SP, , , ,29.69, 
94846,20150802,2151,11,SCT027CB OVC095, , 2.00, ,TSRA, ,69, ,20.6, ,67, ,19.4, ,66, ,18.9, , 90, ,13, ,360, ,36, ,28.99, , , , , ,29.69, ,AA, ,0.31, ,29.71, 
94846,20150802,2154,11,SCT016 SCT027CB OVC095, , 1.00, ,+TSRA, ,68, ,20.0, ,67, ,19.2, ,66, ,18.9, , 93, ,11, ,350, ,36, ,28.99, , , , , ,M, ,SP, , , ,29.71, 
94846,20150802,2200,11,FEW016 SCT027CB OVC095, , 2.00, ,TSRA, ,68, ,20.0, ,67, ,19.2, ,66, ,18.9, , 93, , 5, ,330, ,18, ,29.03, , , , , ,M, ,SP, , , ,29.75, 
94846,20150802,2206,11,FEW016 SCT027CB OVC060, , 3.00, ,TSRA, ,68, ,20.0, ,67, ,19.6, ,67, ,19.4, , 97, , 6, ,010, , , ,28.99, , , , , ,M, ,SP, , , ,29.71, 
94846,20150802,2216,11,FEW012 SCT024CB OVC090, , 6.00, ,-TSRA, ,68, ,20.0, ,67, ,19.6, ,67, ,19.4, , 97, , 3, ,VR , , , ,29.00, , , , , ,M, ,SP, , , ,29.72, 
94846,20150802,2251,11,FEW030CB BKN055 OVC080, ,10.00, ,TS, ,69, ,20.6, ,67, ,19.4, ,66, ,18.9, , 90, , 7, ,190, , , ,29.01, , , , , ,29.71, ,AA, ,0.10, ,29.73, 
94846,20150802,2304,11,FEW030 BKN060 OVC250, ,10.00, , , ,68, ,20.0, ,67, ,19.6, ,67, ,19.4, , 97, , 0, ,000, , , ,29.02, , , , , ,M, ,SP, , , ,29.74, 
94846,20150802,2351,11,FEW060 SCT110 OVC250, ,10.00, , , ,67, ,19.4, ,66, ,19.0, ,66, ,18.9, , 97, , 3, ,250, , , ,29.03, , , , , ,29.73, ,AA, , , ,29.75, 
94846,20150803,0051,11,SCT080 BKN100 BKN250, ,10.00, , , ,68, ,20.0, ,67, ,19.2, ,66, ,18.9, , 93, , 5, ,260, , , ,29.03, , , , , ,29.73, ,AA, , , ,29.75, 
94846,20150803,0151,11,BKN090 BKN250, ,10.00, , , ,68, ,20.0, ,67, ,19.2, ,66, ,18.9, , 93, , 6, ,260, , , ,29.03, , , , , ,29.73, ,AA, , , ,29.75, 
94846,20150803,0251,11,FEW060, ,10.00, , , ,68, ,20.0, ,67, ,19.2, ,66, ,18.9, , 93, , 7, ,290, , , ,29.04, , , , , ,29.74, ,AA, , , ,29.76, 
94846,20150803,0351,11,SCT060, ,10.00, , , ,67, ,19.4, ,66, ,18.7, ,65, ,18.3, , 93, , 7, ,260, , , ,29.05, , , , , ,29.75, ,AA, , , ,29.77, 
94846,20150803,0451,11,SCT060 SCT250, ,10.00, , , ,68, ,20.0, ,66, ,18.9, ,65, ,18.3, , 90, , 6, ,260, , , ,29.08, , , , , ,29.78, ,AA, , , ,29.80, 
94846,20150803,0551,11,SCT060 SCT070 SCT250, ,10.00, , , ,69, ,20.6, ,66, ,18.8, ,64, ,17.8, , 84, , 9, ,320, , , ,29.09, , , , , ,29.80, ,AA, , , ,29.81, 
94846,20150803,0651,11,FEW060 SCT150 SCT250, ,10.00, , , ,71, ,21.7, ,64, ,17.9, ,60, ,15.6, , 68, ,13, ,320, , , ,29.11, , , , , ,29.81, ,AA, , , ,29.83, 
94846,20150803,0751,11,FEW060 FEW150 SCT250, ,10.00, , , ,73, ,22.8, ,64, ,17.7, ,58, ,14.4, , 59, ,14, ,340, , , ,29.12, , , , , ,29.82, ,AA, , , ,29.84, 
94846,20150803,0851,11,FEW060 FEW150, ,10.00, , , ,75, ,23.9, ,64, ,17.8, ,57, ,13.9, , 54, ,13, ,340, , , ,29.13, , , , , ,29.83, ,AA, , , ,29.85, 
94846,20150803,0951,11,FEW050, ,10.00, , , ,77, ,25.0, ,64, ,17.9, ,56, ,13.3, , 48, ,10, ,290, , , ,29.14, , , , , ,29.84, ,AA, , , ,29.86, 
94846,20150803,1051,11,FEW050, ,10.00, , , ,79, ,26.1, ,64, ,17.7, ,54, ,12.2, , 42, ,11, ,310, , , ,29.14, , , , , ,29.85, ,AA, , , ,29.86, 
94846,20150803,1151,11,FEW055, ,10.00, , , ,80, ,26.7, ,62, ,16.6, ,49, ,9.4, , 34, ,14, ,280, , , ,29.14, , , , , ,29.84, ,AA, , , ,29.86, 
94846,20150803,1251,11,FEW055, ,10.00, , , ,80, ,26.7, ,62, ,16.4, ,48, ,8.9, , 33, ,13, ,310, , , ,29.14, , , , , ,29.84, ,AA, , , ,29.86, 
94846,20150803,1351,11,FEW075, ,10.00, , , ,81, ,27.2, ,61, ,16.3, ,47, ,8.3, , 30, ,13, ,290, ,24, ,29.13, , , , , ,29.83, ,AA, , , ,29.85, 
94846,20150803,1451,11,FEW075, ,10.00, , , ,82, ,27.8, ,62, ,16.5, ,47, ,8.3, , 29, ,15, ,290, , , ,29.13, , , , , ,29.84, ,AA, , , ,29.85, 
94846,20150803,1551,11,FEW075, ,10.00, , , ,81, ,27.2, ,62, ,16.6, ,48, ,8.9, , 32, ,13, ,300, ,23, ,29.13, , , , , ,29.84, ,AA, , , ,29.85, 
94846,20150803,1651,11,FEW070, ,10.00, , , ,79, ,26.1, ,62, ,16.4, ,49, ,9.4, , 35, ,14, ,270, , , ,29.13, , , , , ,29.83, ,AA, , , ,29.85, 
94846,20150803,1751,11,FEW070, ,10.00, , , ,78, ,25.6, ,62, ,16.5, ,50, ,10.0, , 38, ,14, ,280, ,21, ,29.14, , , , , ,29.84, ,AA, , , ,29.86, 
94846,20150803,1851,11,FEW070, ,10.00, , , ,76, ,24.4, ,61, ,16.1, ,50, ,10.0, , 40, ,10, ,300, , , ,29.14, , , , , ,29.85, ,AA, , , ,29.86, 
94846,20150803,1951,11,FEW070, ,10.00, , , ,73, ,22.8, ,61, ,16.0, ,52, ,11.1, , 48, , 8, ,280, , , ,29.16, , , , , ,29.86, ,AA, , , ,29.88, 
94846,20150803,2051,11,FEW070, ,10.00, , , ,70, ,21.1, ,61, ,15.9, ,54, ,12.2, , 57, , 6, ,250, , , ,29.18, , , , , ,29.88, ,AA, , , ,29.90, 
94846,20150803,2151,11,CLR, ,10.00, , , ,69, ,20.6, ,61, ,16.0, ,55, ,12.8, , 61, , 6, ,260, , , ,29.18, , , , , ,29.89, ,AA, , , ,29.90, 
94846,20150803,2251,11,FEW070, ,10.00, , , ,68, ,20.0, ,61, ,16.0, ,56, ,13.3, , 66, , 6, ,260, , , ,29.19, , , , , ,29.90, ,AA, , , ,29.91, 
94846,20150803,2351,11,CLR, ,10.00, , , ,67, ,19.4, ,61, ,15.8, ,56, ,13.3, , 68, , 8, ,300, , , ,29.19, , , , , ,29.90, ,AA, , , ,29.91, 
94846,20150804,0051,11,CLR, ,10.00, , , ,65, ,18.3, ,60, ,15.4, ,56, ,13.3, , 73, , 6, ,280, , , ,29.19, , , , , ,29.89, ,AA, , , ,29.91, 
94846,20150804,0151,11,CLR, ,10.00, , , ,63, ,17.2, ,58, ,14.6, ,55, ,12.8, , 75, , 3, ,270, , , ,29.19, , , , , ,29.90, ,AA, , , ,29.91, 
94846,20150804,0251,11,CLR, ,10.00, , , ,63, ,17.2, ,58, ,14.6, ,55, ,12.8, , 75, , 6, ,280, , , ,29.20, , , , , ,29.91, ,AA, , , ,29.92, 
94846,20150804,0351,11,CLR, ,10.00, , , ,63, ,17.2, ,58, ,14.6, ,55, ,12.8, , 75, , 3, ,270, , , ,29.20, , , , , ,29.91, ,AA, , , ,29.92, 
94846,20150804,0451,11,FEW250, ,10.00, , , ,61, ,16.1, ,58, ,14.2, ,55, ,12.8, , 81, , 3, ,260, , , ,29.22, , , , , ,29.93, ,AA, , , ,29.94, 
94846,20150804,0551,11,FEW080 FEW250, ,10.00, , , ,63, ,17.2, ,60, ,15.2, ,57, ,13.9, , 81, , 5, ,260, , , ,29.23, , , , , ,29.94, ,AA, , , ,29.95, 
94846,20150804,0651,11,FEW250, ,10.00, , , ,68, ,20.0, ,61, ,16.3, ,57, ,13.9, , 68, , 5, ,250, , , ,29.24, , , , , ,29.95, ,AA, , , ,29.96, 
94846,20150804,0751,11,BKN250, ,10.00, , , ,73, ,22.8, ,63, ,17.1, ,56, ,13.3, , 55, , 3, ,240, , , ,29.25, , , , , ,29.96, ,AA, , , ,29.97, 
94846,20150804,0851,11,BKN250, ,10.00, , , ,76, ,24.4, ,63, ,17.1, ,54, ,12.2, , 47, ,10, ,260, , , ,29.25, , , , , ,29.96, ,AA, , , ,29.97, 
94846,20150804,0951,11,FEW060 BKN250, ,10.00, , , ,78, ,25.6, ,62, ,16.5, ,50, ,10.0, , 38, ,15, ,270, ,21, ,29.25, , , , , ,29.96, ,AA, , , ,29.97, 
94846,20150804,1051,11,FEW060 BKN250, ,10.00, , , ,79, ,26.1, ,62, ,16.7, ,50, ,10.0, , 36, ,11, ,280, , , ,29.25, , , , , ,29.96, ,AA, , , ,29.97, 
94846,20150804,1151,11,FEW060 BKN250, ,10.00, , , ,79, ,26.1, ,63, ,17.2, ,52, ,11.1, , 39, ,11, ,290, , , ,29.25, , , , , ,29.95, ,AA, , , ,29.97, 
94846,20150804,1251,11,FEW060 BKN250, ,10.00, , , ,81, ,27.2, ,64, ,17.6, ,52, ,11.1, , 37, ,16, ,280, ,22, ,29.25, , , , , ,29.96, ,AA, , , ,29.97, 
94846,20150804,1351,11,FEW060 BKN250, ,10.00, , , ,81, ,27.2, ,63, ,17.3, ,51, ,10.6, , 35, ,15, ,300, ,22, ,29.25, , , , , ,29.96, ,AA, , , ,29.97, 
94846,20150804,1451,11,SCT060 BKN250, ,10.00, , , ,80, ,26.7, ,64, ,17.6, ,53, ,11.7, , 39, ,15, ,310, ,21, ,29.24, , , , , ,29.95, ,AA, , , ,29.96, 
94846,20150804,1551,11,FEW060 BKN250, ,10.00, , , ,80, ,26.7, ,64, ,17.6, ,53, ,11.7, , 39, ,10, ,330, , , ,29.24, , , , , ,29.94, ,AA, , , ,29.96, 
94846,20150804,1651,11,FEW065 BKN250, ,10.00, , , ,80, ,26.7, ,63, ,17.1, ,51, ,10.6, , 37, , 8, ,310, , , ,29.22, , , , , ,29.93, ,AA, , , ,29.94, 
94846,20150804,1749,11,FEW065 BKN250, ,10.00, , , ,77, ,25.0, ,63, ,17.3, ,54, ,12.0, , 45, ,13, ,360, , , ,29.22, , , , , ,M, ,SP, , , ,29.94, 
94846,20150804,1751,11,FEW065 BKN250, ,10.00, , , ,77, ,25.0, ,63, ,17.1, ,53, ,11.7, , 43, ,13, ,360, , , ,29.22, , , , , ,29.93, ,AA, , , ,29.94, 
94846,20150804,1851,11,FEW065 FEW210 BKN250, ,10.00, , , ,75, ,23.9, ,62, ,16.4, ,52, ,11.1, , 45, , 7, ,350, , , ,29.25, , , , , ,29.96, ,AA, , , ,29.97, 
94846,20150804,1951,11,FEW065 FEW210 BKN250, ,10.00, , , ,74, ,23.3, ,62, ,16.4, ,53, ,11.7, , 48, , 3, ,350, , , ,29.29, , , , , ,29.99, ,AA, , , ,30.01, 
94846,20150804,2051,11,FEW065 SCT250, ,10.00, , , ,72, ,22.2, ,64, ,17.5, ,58, ,14.4, , 62, , 6, ,VR , , , ,29.31, , , , , ,30.01, ,AA, , , ,30.03, 
94846,20150804,2151,11,SCT250, ,10.00, , , ,68, ,20.0, ,61, ,16.3, ,57, ,13.9, , 68, , 5, ,140, , , ,29.31, , , , , ,30.02, ,AA, , , ,30.03, 
94846,20150804,2251,11,SCT250, ,10.00, , , ,67, ,19.4, ,62, ,16.4, ,58, ,14.4, , 73, , 0, ,000, , , ,29.32, , , , , ,30.02, ,AA, , , ,30.04, 
94846,20150804,2351,11,FEW250, ,10.00, , , ,67, ,19.4, ,62, ,16.4, ,58, ,14.4, , 73, , 3, ,210, , , ,29.31, , , , , ,30.02, ,AA, , , ,30.03, 
94846,20150805,0051,11,FEW250, ,10.00, , , ,65, ,18.3, ,61, ,16.0, ,58, ,14.4, , 78, , 0, ,000, , , ,29.31, , , , , ,30.01, ,AA, , , ,30.03, 
94846,20150805,0151,11,FEW250, ,10.00, , , ,63, ,17.2, ,61, ,15.9, ,59, ,15.0, , 87, , 0, ,000, , , ,29.30, , , , , ,30.01, ,AA, , , ,30.02, 
94846,20150805,0251,11,SCT250, ,10.00, , , ,63, ,17.2, ,61, ,15.9, ,59, ,15.0, , 87, , 3, ,300, , , ,29.31, , , , , ,30.02, ,AA, , , ,30.03, 
94846,20150805,0351,11,SCT250, ,10.00, , , ,62, ,16.7, ,60, ,15.3, ,58, ,14.4, , 87, , 3, ,290, , , ,29.32, , , , , ,30.03, ,AA, , , ,30.04, 
94846,20150805,0451,11,BKN250, ,10.00, , , ,62, ,16.7, ,60, ,15.3, ,58, ,14.4, , 87, , 3, ,250, , , ,29.33, , , , , ,30.04, ,AA, , , ,30.05, 
94846,20150805,0551,11,SCT250, ,10.00, , , ,67, ,19.4, ,62, ,16.7, ,59, ,15.0, , 76, , 3, ,360, , , ,29.33, , , , , ,30.04, ,AA, , , ,30.05, 
94846,20150805,0651,11,SCT250, ,10.00, , , ,72, ,22.2, ,63, ,17.2, ,57, ,13.9, , 59, , 3, ,280, , , ,29.33, , , , , ,30.03, ,AA, , , ,30.05, 
94846,20150805,0751,11,BKN250, ,10.00, , , ,74, ,23.3, ,64, ,17.6, ,57, ,13.9, , 56, , 0, ,000, , , ,29.33, , , , , ,30.04, ,AA, , , ,30.05, 
94846,20150805,0851,11,FEW050 BKN250, ,10.00, , , ,78, ,25.6, ,63, ,17.3, ,53, ,11.7, , 42, , 0, ,000, , , ,29.34, , , , , ,30.05, ,AA, , , ,30.06, 
94846,20150805,0951,11,FEW060 BKN250, ,10.00, , , ,80, ,26.7, ,63, ,17.4, ,52, ,11.1, , 38, , 0, ,000, , , ,29.34, , , , , ,30.04, ,AA, , , ,30.06, 
94846,20150805,1051,11,SCT065 BKN250, ,10.00, , , ,81, ,27.2, ,64, ,17.6, ,52, ,11.1, , 37, , 7, ,040, , , ,29.32, , , , , ,30.03, ,AA, , , ,30.04, 
94846,20150805,1151,11,SCT065 SCT170 BKN250, ,10.00, , , ,80, ,26.7, ,64, ,17.9, ,54, ,12.2, , 41, ,13, ,100, , , ,29.32, , , , , ,30.02, ,AA, , , ,30.04, 
94846,20150805,1251,11,FEW065 BKN250, ,10.00, , , ,81, ,27.2, ,65, ,18.4, ,55, ,12.8, , 41, ,10, ,060, , , ,29.31, , , , , ,30.02, ,AA, , , ,30.03, 
94846,20150805,1351,11,SCT065 BKN250, ,10.00, , , ,81, ,27.2, ,65, ,18.1, ,54, ,12.2, , 39, ,10, ,060, ,17, ,29.31, , , , , ,30.02, ,AA, , , ,30.03, 
94846,20150805,1451,11,FEW065 FEW200 BKN250, ,10.00, , , ,80, ,26.7, ,64, ,17.9, ,54, ,12.2, , 41, ,10, ,080, , , ,29.30, , , , , ,30.01, ,AA, , , ,30.02, 
94846,20150805,1551,11,FEW065 SCT200 OVC250, ,10.00, , , ,79, ,26.1, ,64, ,17.7, ,54, ,12.2, , 42, ,10, ,090, , , ,29.30, , , , , ,30.01, ,AA, , , ,30.02, 
