,dates,Date,HourlyPrecip,AltimeterFlag,RelativeHumidityFlag,WetBulbCelsius,SeaLevelPressureFlag,Altimeter,ValueForWindCharacterFlag,HourlyPrecipFlag,SkyConditionFlag,DewPointFarenheitFlag,DewPointFarenheit,DewPointCelsiusFlag,RecordType,dates.1,DryBulbCelsiusFlag,WetBulbFarenheitFlag,SkyCondition,WindDirectionFlag,PressureChangeFlag,RelativeHumidity,SeaLevelPressure,RecordTypeFlag,DewPointCelsius,Time,PressureTendencyFlag,StationPressure,WeatherType,WBAN,WindDirection,WeatherTypeFlag,sethour,VisibilityFlag,WindSpeed,DryBulbFarenheit,ValueForWindCharacter,DryBulbFarenheitFlag,Visibility,DryBulbCelsius,PressureTendency,StationType,StationPressureFlag,WindSpeedFlag,WetBulbFarenheit,PressureChange,WetBulbCelsiusFlag
10,2015-08-10,20150810, , , ,21.3, ,29.89, , , , ,69, ,SP,2015-08-10, , ,BKN017 OVC065, , ,87,M, ,20.6,0, ,29.17,BR,94846,0, ,0, ,0,73, , ,5.0,22.8, ,11, , ,70, , 
11,2015-08-10,20150810,  T, , ,21.4, ,29.88, , , , ,69, ,AA,2015-08-10, , ,OVC015, , ,84,29.86, ,20.6,0, ,29.16,-RA BR,94846,340, ,0, ,3,74, , ,6.0,23.3, ,11, , ,71, , 
12,2015-08-11,20150811, , , ,18.6, ,29.93, , , , ,64, ,AA,2015-08-11, , ,FEW080, , ,87,29.92, ,17.8,0, ,29.21, ,94846,310, ,0, ,3,68, , ,10.0,20.0, ,11, , ,65, , 
13,2015-08-12,20150812, , , ,15.2, ,30.12, , , , ,56, ,AA,2015-08-12, , ,CLR, , ,75,30.11, ,13.3,0, ,29.39, ,94846,0, ,0, ,0,64, , ,10.0,17.8, ,11, , ,59, , 
14,2015-08-13,20150813, , , ,17.6, ,30.09, , , , ,61, ,AA,2015-08-13, , ,CLR, , ,78,30.07, ,16.1,0, ,29.37, ,94846,230, ,0, ,5,68, , ,10.0,20.0, ,11, , ,64, , 
15,2015-08-14,20150814, , , ,20.1, ,30.06, , , , ,65, ,AA,2015-08-14, , ,SCT047 BKN060 BKN080, , ,74,30.04, ,18.3,0, ,29.34, ,94846,240, ,0, ,8,74, , ,10.0,23.3, ,11, , ,68, , 
16,2015-08-15,20150815, , , ,18.3, ,30.12, , , , ,60, ,SP,2015-08-15, , ,FEW020 OVC055CB, , ,64,M, ,15.6,0, ,29.39,TS,94846,200, ,0, ,8,73,22, ,10.0,22.8, ,11, , ,65, , 
17,2015-08-15,20150815, , , ,18.3, ,30.11, , , , ,62, ,AA,2015-08-15, , ,BKN055CB BKN100 OVC160, , ,76,30.10, ,16.7,0, ,29.39,TS,94846,160, ,0, ,15,70, , ,10.0,21.1, ,11, , ,65, , 
18,2015-08-16,20150816, , , ,21.6, ,30.09, , , , ,70, ,AA,2015-08-16, , ,CLR, , ,90,30.07, ,21.1,0, ,29.37, ,94846,190, ,0, ,5,73, , ,9.0,22.8, ,11, , ,71, , 
19,2015-08-17,20150817, , , ,21.3, ,30.04, , , , ,68, ,AA,2015-08-17, , ,FEW250, , ,79,30.02, ,20.0,0, ,29.32, ,94846,220, ,0, ,6,75, , ,10.0,23.9, ,11, , ,70, , 
20,2015-08-18,20150818,0.05, , ,20.1, ,29.91, , , , ,68, ,AA,2015-08-18, , ,FEW080 BKN110 OVC130, , ,97,29.89, ,20.0,0, ,29.19,-RA,94846,210, ,0, ,7,69, , ,9.0,20.6, ,11, , ,68, , 
21,2015-08-19,20150819, , , ,19.6, ,29.68, , , , ,66, ,SP,2015-08-19, , ,BKN010 BKN250, , ,87,M, ,19.0,0, ,28.96, ,94846,190, ,0, ,10,70, , ,10.0,21.0, ,11, , ,67, , 
22,2015-08-19,20150819, , , ,19.8, ,29.68, , , , ,67, ,AA,2015-08-19, , ,BKN010 BKN250, , ,93,29.66, ,19.4,0, ,28.96, ,94846,190, ,0, ,11,69, , ,10.0,20.6, ,11, , ,68, , 
23,2015-08-20,20150820, , , ,14.7, ,29.73, , , , ,56, ,SP,2015-08-20, , ,SCT022 BKN029 OVC040, , ,81,M, ,13.3,0, ,29.01, ,94846,240, ,0, ,15,62,22, ,10.0,16.7, ,11, , ,59, , 
24,2015-08-20,20150820, , , ,14.7, ,29.72, , , , ,56, ,SP,2015-08-20, , ,BKN020 BKN027 OVC038, , ,81,M, ,13.3,0, ,29.0, ,94846,240, ,0, ,11,62,23, ,10.0,16.7, ,11, , ,59, , 
25,2015-08-20,20150820, , , ,14.7, ,29.72, , , , ,56, ,AA,2015-08-20, , ,OVC018, , ,81,29.71, ,13.3,0, ,29.0, ,94846,240, ,0, ,15,62,21, ,10.0,16.7, ,11, , ,59, , 
26,2015-08-21,20150821, , , ,12.8, ,30.05, , , , ,52, ,AA,2015-08-21, , ,CLR, , ,78,30.04, ,11.1,0, ,29.33, ,94846,240, ,0, ,5,59, , ,10.0,15.0, ,11, , ,55, , 
27,2015-08-22,20150822, , , ,16.0, ,30.09, , , , ,58, ,AA,2015-08-22, , ,CLR, , ,78,30.07, ,14.4,0, ,29.37, ,94846,180, ,0, ,8,65, , ,10.0,18.3, ,11, , ,61, , 
28,2015-08-23,20150823, , , ,17.3, ,29.93, , , , ,58, ,AA,2015-08-23, , ,BKN035 BKN041 OVC060, , ,64,29.91, ,14.4,0, ,29.21, ,94846,160, ,0, ,8,71, , ,10.0,21.7, ,11, , ,63, , 
29,2015-08-24,20150824, , , ,12.5, ,29.94, , , , ,51, ,AA,2015-08-24, , ,FEW055, , ,75,29.93, ,10.6,0, ,29.22, ,94846,250, ,0, ,7,59, , ,10.0,15.0, ,11, , ,55, , 
30,2015-08-25,20150825, , , ,11.7, ,29.97, , , , ,46, ,AA,2015-08-25, , ,OVC044, , ,58,29.96, ,7.8,0, ,29.25, ,94846,300, ,0, ,13,61, , ,10.0,16.1, ,11, , ,53, , 
31,2015-08-26,20150826, , , ,12.3, ,30.08, , , , ,51, ,AA,2015-08-26, , ,FEW030, , ,78,30.08, ,10.6,0, ,29.36, ,94846,320, ,0, ,8,58, , ,10.0,14.4, ,11, , ,54, , 
32,2015-08-27,20150827, , , ,12.4, ,30.16, , , , ,53, ,AA,2015-08-27, , ,CLR, , ,90,30.16, ,11.7,0, ,29.44, ,94846,260, ,0, ,3,56, , ,10.0,13.3, ,11, , ,54, , 
33,2015-08-28,20150828, , , ,14.0, ,30.12, , , , ,56, ,AA,2015-08-28, , ,SCT250, , ,90,30.11, ,13.3,0, ,29.39, ,94846,150, ,0, ,3,59, , ,8.0,15.0, ,11, , ,57, , 
34,2015-08-29,20150829, , , ,18.2, ,30.06, , , , ,63, ,AA,2015-08-29, , ,BKN060 OVC130, , ,84,30.05, ,17.2,0, ,29.34, ,94846,130, ,0, ,5,68, , ,10.0,20.0, ,11, , ,65, , 
35,2015-08-30,20150830, , , ,17.9, ,30.02, , , , ,64, ,SP,2015-08-30, , ,SCT005 OVC047, , ,97,M, ,17.8,0, ,29.3,BR,94846,120, ,0, ,3,65, , ,3.0,18.3, ,11, , ,64, , 
36,2015-08-30,20150830, , , ,17.4, ,30.03, , , , ,63, ,SP,2015-08-30, , ,BKN005 OVC047, , ,97,M, ,17.2,0, ,29.31,BR,94846,0, ,0, ,0,64, , ,3.0,17.8, ,11, , ,63, , 
37,2015-08-30,20150830, , , ,17.9, ,30.03, , , , ,64, ,AA,2015-08-30, , ,BKN005 OVC047, , ,97,30.02, ,17.8,0, ,29.31,BR,94846,0, ,0, ,0,65, , ,3.0,18.3, ,11, , ,64, , 
38,2015-08-31,20150831, , , ,17.2, ,30.03, , , , ,63, ,SP,2015-08-31, , ,BKN023, , ,100,M, ,17.2,0, ,29.31,BR,94846,150, ,0, ,3,63, , ,3.0,17.2, ,11, , ,63, , 
39,2015-08-31,20150831, , , ,17.2, ,30.03, , , , ,63, ,SP,2015-08-31, , ,SCT022, , ,100,M, ,17.2,0, ,29.31,BR,94846,0, ,0, ,0,63, , ,3.0,17.2, ,11, , ,63, , 
40,2015-08-31,20150831, , , ,17.4, ,30.03, , , , ,63, ,SP,2015-08-31, , ,BKN023, , ,97,M, ,17.0,0, ,29.31,BR,94846,0, ,0, ,0,64, , ,3.0,18.0, ,11, , ,63, , 
41,2015-08-31,20150831, , , ,17.4, ,30.03, , , , ,63, ,AA,2015-08-31, , ,BKN023, , ,97,30.02, ,17.2,0, ,29.31,BR,94846,0, ,0, ,0,64, , ,3.0,17.8, ,11, , ,63, , 
0,2015-08-01 01:00:00,20150801, , , ,15.0, ,29.98, , , , ,53, ,AA,2015-08-01 01:00:00, , ,CLR, , ,61,29.96, ,11.7,1, ,29.26, ,94846,280, ,1, ,8,67, , ,10.0,19.4, ,11, , ,59, , 
1,2015-08-02 01:00:00,20150802, , , ,20.0, ,29.87, , , , ,66, ,AA,2015-08-02 01:00:00, , ,FEW130, , ,82,29.85, ,18.9,1, ,29.15, ,94846,250, ,1, ,11,72, , ,10.0,22.2, ,11, , ,68, , 
2,2015-08-03 01:00:00,20150803, , , ,19.2, ,29.75, , , , ,66, ,AA,2015-08-03 01:00:00, , ,BKN090 BKN250, , ,93,29.73, ,18.9,1, ,29.03, ,94846,260, ,1, ,6,68, , ,10.0,20.0, ,11, , ,67, , 
3,2015-08-04 01:00:00,20150804, , , ,14.6, ,29.91, , , , ,55, ,AA,2015-08-04 01:00:00, , ,CLR, , ,75,29.90, ,12.8,1, ,29.19, ,94846,270, ,1, ,3,63, , ,10.0,17.2, ,11, , ,58, , 
4,2015-08-05 01:00:00,20150805, , , ,15.9, ,30.02, , , , ,59, ,AA,2015-08-05 01:00:00, , ,FEW250, , ,87,30.01, ,15.0,1, ,29.3, ,94846,0, ,1, ,0,63, , ,10.0,17.2, ,11, , ,61, , 
5,2015-08-06 01:00:00,20150806, , , ,17.8, ,29.98, , , , ,63, ,AA,2015-08-06 01:00:00, , ,BKN300, , ,90,29.96, ,17.2,1, ,29.26, ,94846,20, ,1, ,5,66, , ,10.0,18.9, ,11, , ,64, , 
6,2015-08-07 01:00:00,20150807, , , ,17.2, ,29.92, , , , ,61, ,AA,2015-08-07 01:00:00, , ,SCT150 BKN250, , ,84,29.91, ,16.1,1, ,29.2, ,94846,190, ,1, ,3,66, , ,10.0,18.9, ,11, , ,63, , 
7,2015-08-08 01:00:00,20150808, , , ,18.0, ,29.86, , , , ,61, ,AA,2015-08-08 01:00:00, , ,FEW045 FEW060, , ,73,29.84, ,16.1,1, ,29.14, ,94846,190, ,1, ,8,70, , ,10.0,21.1, ,11, , ,64, , 
8,2015-08-09 01:00:00,20150809, , , ,19.2, ,29.96, , , , ,66, ,SP,2015-08-09 01:00:00, , ,FEW008 SCT140, , ,93,M, ,18.9,1, ,29.24,BR,94846,0, ,1, ,0,68, , ,6.0,20.0, ,11, , ,67, , 
9,2015-08-09 01:00:00,20150809, , , ,18.7, ,29.96, , , , ,65, ,AA,2015-08-09 01:00:00, , ,FEW008 SCT140, , ,93,29.94, ,18.3,1, ,29.24,BR,94846,0, ,1, ,0,67, , ,6.0,19.4, ,11, , ,66, , 
10,2015-08-10 01:00:00,20150810,  T, , ,21.1, ,29.87, , , , ,69, ,AA,2015-08-10 01:00:00, , ,OVC015, , ,90,29.85, ,20.6,1, ,29.15,BR,94846,350, ,1, ,6,72, , ,5.0,22.2, ,11, , ,70, , 
11,2015-08-11 01:00:00,20150811, , , ,18.4, ,29.94, , , , ,63, ,AA,2015-08-11 01:00:00, , ,FEW080, , ,81,29.93, ,17.2,1, ,29.22, ,94846,330, ,1, ,7,69, , ,10.0,20.6, ,11, , ,65, , 
12,2015-08-12 01:00:00,20150812, , , ,15.4, ,30.13, , , , ,56, ,AA,2015-08-12 01:00:00, , ,CLR, , ,73,30.11, ,13.3,1, ,29.41, ,94846,0, ,1, ,0,65, , ,10.0,18.3, ,11, , ,60, , 
13,2015-08-13 01:00:00,20150813, , , ,17.4, ,30.09, , , , ,61, ,AA,2015-08-13 01:00:00, , ,SCT250, , ,81,30.07, ,16.1,1, ,29.37, ,94846,220, ,1, ,3,67, , ,10.0,19.4, ,11, , ,63, , 
14,2015-08-14 01:00:00,20150814, , , ,19.7, ,30.05, , , , ,64, ,AA,2015-08-14 01:00:00, , ,FEW047 FEW065 OVC250, , ,71,30.03, ,17.8,1, ,29.33, ,94846,240, ,1, ,11,74, , ,10.0,23.3, ,11, , ,68, , 
15,2015-08-15 01:00:00,20150815, , , ,18.1, ,30.1, , , , ,62, ,SP,2015-08-15 01:00:00, , ,SCT050 BKN140, , ,79,M, ,16.7,1, ,29.38, ,94846,190, ,1, ,10,69, , ,10.0,20.6, ,11, , ,65, , 
16,2015-08-15 01:00:00,20150815,  T, , ,18.6, ,30.09, , , , ,63, ,AA,2015-08-15 01:00:00, , ,SCT055 BKN070 BKN095, , ,79,30.07, ,17.2,1, ,29.37, ,94846,260, ,1, ,6,70, , ,10.0,21.1, ,11, , ,66, , 
17,2015-08-16 01:00:00,20150816, , , ,20.9, ,30.08, , , , ,69, ,AA,2015-08-16 01:00:00, , ,CLR, , ,93,30.06, ,20.6,1, ,29.36, ,94846,0, ,1, ,0,71, , ,9.0,21.7, ,11, , ,70, , 
18,2015-08-17 01:00:00,20150817, , , ,20.9, ,30.03, , , , ,68, ,AA,2015-08-17 01:00:00, , ,CLR, , ,84,30.01, ,20.0,1, ,29.31, ,94846,210, ,1, ,7,73, , ,10.0,22.8, ,11, , ,70, , 
19,2015-08-18 01:00:00,20150818, , , ,19.8, ,29.89, , , , ,67, ,AA,2015-08-18 01:00:00, , ,BKN110 OVC160, , ,93,29.88, ,19.4,1, ,29.17, ,94846,200, ,1, ,6,69, , ,9.0,20.6, ,11, , ,68, , 
20,2015-08-19 01:00:00,20150819, , , ,19.8, ,29.67, , , , ,67, ,SP,2015-08-19 01:00:00, , ,SCT013, , ,93,M, ,19.4,1, ,28.95, ,94846,190, ,1, ,11,69, , ,10.0,20.6, ,11, , ,68, , 
21,2015-08-19 01:00:00,20150819, , , ,20.3, ,29.67, , , , ,68, ,AA,2015-08-19 01:00:00, , ,FEW032 SCT039 OVC060, , ,93,29.65, ,20.0,1, ,28.95, ,94846,200, ,1, ,10,70, , ,10.0,21.1, ,11, , ,69, , 
22,2015-08-20 01:00:00,20150820, , , ,14.7, ,29.72, , , , ,56, ,SP,2015-08-20 01:00:00, , ,SCT018 BKN029 BKN050, , ,81,M, ,13.3,1, ,29.0, ,94846,240, ,1, ,14,62,23, ,10.0,16.7, ,11, , ,59, , 
23,2015-08-20 01:00:00,20150820, , , ,14.7, ,29.72, , , , ,56, ,SP,2015-08-20 01:00:00, , ,FEW016 BKN031 OVC050, , ,81,M, ,13.3,1, ,29.0, ,94846,240, ,1, ,15,62,22, ,10.0,16.7, ,11, , ,59, , 
24,2015-08-20 01:00:00,20150820, , , ,14.7, ,29.71, , , , ,56, ,AA,2015-08-20 01:00:00, , ,FEW019 BKN030, , ,81,29.70, ,13.3,1, ,28.99, ,94846,240, ,1, ,11,62,21, ,10.0,16.7, ,11, , ,59, , 
25,2015-08-20 01:00:00,20150820, , , ,14.7, ,29.72, , , , ,56, ,SP,2015-08-20 01:00:00, , ,SCT019 BKN025 BKN030, , ,81,M, ,13.3,1, ,29.0, ,94846,240, ,1, ,13,62,21, ,10.0,16.7, ,11, , ,59, , 
26,2015-08-21 01:00:00,20150821, , , ,12.6, ,30.05, , , , ,52, ,AA,2015-08-21 01:00:00, , ,CLR, , ,81,30.04, ,11.1,1, ,29.33, ,94846,260, ,1, ,7,58, , ,10.0,14.4, ,11, , ,55, , 
27,2015-08-22 01:00:00,20150822, , , ,15.5, ,30.08, , , , ,58, ,AA,2015-08-22 01:00:00, , ,CLR, , ,84,30.07, ,14.4,1, ,29.36, ,94846,180, ,1, ,7,63, , ,10.0,17.2, ,11, , ,60, , 
28,2015-08-23 01:00:00,20150823, , , ,17.2, ,29.92, , , , ,59, ,AA,2015-08-23 01:00:00, , ,FEW034 SCT250, , ,71,29.90, ,15.0,1, ,29.2, ,94846,180, ,1, ,8,69, , ,10.0,20.6, ,11, , ,63, , 
29,2015-08-24 01:00:00,20150824, , , ,12.0, ,29.94, , , , ,50, ,AA,2015-08-24 01:00:00, , ,CLR, , ,75,29.93, ,10.0,1, ,29.22, ,94846,260, ,1, ,9,58, , ,10.0,14.4, ,11, , ,54, , 
30,2015-08-25 01:00:00,20150825, , , ,11.7, ,29.96, , , , ,46, ,AA,2015-08-25 01:00:00, , ,OVC044, , ,58,29.96, ,7.8,1, ,29.24, ,94846,290, ,1, ,8,61, , ,10.0,16.1, ,11, , ,53, , 
31,2015-08-26 01:00:00,20150826, , , ,12.6, ,30.08, , , , ,52, ,SP,2015-08-26 01:00:00, , ,BKN023, , ,81,M, ,11.1,1, ,29.36, ,94846,310, ,1, ,7,58, , ,10.0,14.4, ,11, , ,55, , 
32,2015-08-26 01:00:00,20150826, , , ,12.6, ,30.07, , , , ,52, ,SP,2015-08-26 01:00:00, , ,BKN025, , ,81,M, ,11.1,1, ,29.35, ,94846,320, ,1, ,7,58, , ,10.0,14.4, ,11, , ,55, , 
33,2015-08-26 01:00:00,20150826, , , ,12.3, ,30.07, , , , ,52, ,AA,2015-08-26 01:00:00, , ,BKN026, , ,83,30.07, ,11.1,1, ,29.35, ,94846,320, ,1, ,7,57, , ,10.0,13.9, ,11, , ,54, , 
34,2015-08-27 01:00:00,20150827, , , ,12.1, ,30.16, , , , ,52, ,AA,2015-08-27 01:00:00, , ,CLR, , ,87,30.16, ,11.1,1, ,29.44, ,94846,270, ,1, ,5,56, , ,10.0,13.3, ,11, , ,54, , 
35,2015-08-28 01:00:00,20150828, , , ,14.0, ,30.12, , , , ,56, ,AA,2015-08-28 01:00:00, , ,BKN250, , ,90,30.12, ,13.3,1, ,29.39, ,94846,150, ,1, ,3,59, , ,9.0,15.0, ,11, , ,57, , 
36,2015-08-29 01:00:00,20150829,  T, , ,17.0, ,30.04, , , , ,60, ,AA,2015-08-29 01:00:00, , ,FEW075 SCT095 OVC120, , ,78,30.03, ,15.6,1, ,29.32, ,94846,150, ,1, ,6,67, , ,10.0,19.4, ,11, , ,63, , 
37,2015-08-30 01:00:00,20150830, , , ,17.9, ,30.02, , , , ,64, ,AA,2015-08-30 01:00:00, , ,OVC008, , ,97,30.01, ,17.8,1, ,29.3,BR,94846,10, ,1, ,5,65, , ,3.0,18.3, ,11, , ,64, , 
38,2015-08-31 01:00:00,20150831, , , ,17.4, ,30.03, , , , ,63, ,SP,2015-08-31 01:00:00, , ,SCT023, , ,97,M, ,17.2,1, ,29.31,BR,94846,0, ,1, ,0,64, , ,2.0,17.8, ,11, , ,63, , 
39,2015-08-31 01:00:00,20150831, , , ,17.2, ,30.03, , , , ,63, ,AA,2015-08-31 01:00:00, , ,FEW010, , ,100,30.02, ,17.2,1, ,29.31,BR,94846,0, ,1, ,0,63, , ,2.0,17.2, ,11, , ,63, , 
0,2015-08-01 02:00:00,20150801, , , ,14.7, ,29.98, , , , ,53, ,AA,2015-08-01 02:00:00, , ,CLR, , ,63,29.97, ,11.7,2, ,29.26, ,94846,280, ,2, ,7,66, , ,10.0,18.9, ,11, , ,59, , 
1,2015-08-02 02:00:00,20150802, , , ,20.4, ,29.86, , , , ,67, ,AA,2015-08-02 02:00:00, , ,FEW130, , ,84,29.85, ,19.4,2, ,29.14, ,94846,240, ,2, ,10,72, , ,10.0,22.2, ,11, , ,69, , 
2,2015-08-03 02:00:00,20150803, , , ,19.2, ,29.76, , , , ,66, ,AA,2015-08-03 02:00:00, , ,FEW060, , ,93,29.74, ,18.9,2, ,29.04, ,94846,290, ,2, ,7,68, , ,10.0,20.0, ,11, , ,67, , 
3,2015-08-04 02:00:00,20150804, , , ,14.6, ,29.92, , , , ,55, ,AA,2015-08-04 02:00:00, , ,CLR, , ,75,29.91, ,12.8,2, ,29.2, ,94846,280, ,2, ,6,63, , ,10.0,17.2, ,11, , ,58, , 
4,2015-08-05 02:00:00,20150805, , , ,15.9, ,30.03, , , , ,59, ,AA,2015-08-05 02:00:00, , ,SCT250, , ,87,30.02, ,15.0,2, ,29.31, ,94846,300, ,2, ,3,63, , ,10.0,17.2, ,11, , ,61, , 
5,2015-08-06 02:00:00,20150806, , , ,17.8, ,29.98, , , , ,63, ,AA,2015-08-06 02:00:00, , ,OVC300, , ,90,29.97, ,17.2,2, ,29.26, ,94846,10, ,2, ,3,66, , ,10.0,18.9, ,11, , ,64, , 
6,2015-08-07 02:00:00,20150807, , , ,18.0, ,29.92, , , , ,63, ,AA,2015-08-07 02:00:00, , ,SCT150 SCT250, , ,87,29.91, ,17.2,2, ,29.2, ,94846,190, ,2, ,6,67, , ,10.0,19.4, ,11, , ,65, , 
7,2015-08-08 02:00:00,20150808, , , ,18.5, ,29.87, , , , ,62, ,AA,2015-08-08 02:00:00, , ,BKN030 BKN060, , ,73,29.85, ,16.7,2, ,29.15, ,94846,210, ,2, ,7,71, , ,10.0,21.7, ,11, , ,65, , 
8,2015-08-09 02:00:00,20150809, , , ,18.7, ,29.99, , , , ,65, ,AA,2015-08-09 02:00:00, , ,FEW008 OVC200, , ,93,29.97, ,18.3,2, ,29.27,BR,94846,310, ,2, ,7,67, , ,6.0,19.4, ,11, , ,66, , 
9,2015-08-10 02:00:00,20150810, , , ,20.9, ,29.86, , , , ,68, ,AA,2015-08-10 02:00:00, , ,BKN015 OVC065, , ,84,29.85, ,20.0,2, ,29.14,BR,94846,0, ,2, ,0,73, , ,5.0,22.8, ,11, , ,70, , 
10,2015-08-11 02:00:00,20150811, , , ,18.2, ,29.95, , , , ,63, ,AA,2015-08-11 02:00:00, , ,CLR, , ,84,29.94, ,17.2,2, ,29.23, ,94846,350, ,2, ,9,68, , ,10.0,20.0, ,11, , ,65, , 
11,2015-08-12 02:00:00,20150812, , , ,14.9, ,30.14, , , , ,56, ,AA,2015-08-12 02:00:00, , ,CLR, , ,78,30.13, ,13.3,2, ,29.41, ,94846,0, ,2, ,0,63, , ,10.0,17.2, ,11, , ,59, , 
12,2015-08-13 02:00:00,20150813, , , ,17.4, ,30.09, , , , ,61, ,AA,2015-08-13 02:00:00, , ,SCT250, , ,81,30.08, ,16.1,2, ,29.37, ,94846,230, ,2, ,5,67, , ,10.0,19.4, ,11, , ,63, , 
13,2015-08-14 02:00:00,20150814, , , ,19.9, ,30.06, , , , ,64, ,AA,2015-08-14 02:00:00, , ,FEW039 OVC050, , ,69,30.04, ,17.8,2, ,29.34, ,94846,250, ,2, ,10,75, , ,10.0,23.9, ,11, , ,68, , 
14,2015-08-15 02:00:00,20150815, , , ,18.8, ,30.1, , , , ,64, ,AA,2015-08-15 02:00:00, , ,FEW050 FEW060 FEW070, , ,84,30.09, ,17.8,2, ,29.38, ,94846,110, ,2, ,5,69, , ,10.0,20.6, ,11, , ,66, , 
15,2015-08-16 02:00:00,20150816, , , ,21.4, ,30.07, , , , ,70, ,AA,2015-08-16 02:00:00, , ,CLR, , ,93,30.05, ,21.1,2, ,29.35, ,94846,220, ,2, ,6,72, , ,8.0,22.2, ,11, , ,71, , 
16,2015-08-17 02:00:00,20150817, , , ,20.7, ,30.03, , , , ,68, ,AA,2015-08-17 02:00:00, , ,CLR, , ,87,30.02, ,20.0,2, ,29.31, ,94846,200, ,2, ,3,72, , ,10.0,22.2, ,11, , ,69, , 
17,2015-08-18 02:00:00,20150818,0.01, , ,19.8, ,29.91, , , , ,67, ,AA,2015-08-18 02:00:00, , ,FEW030 BKN090 OVC110, , ,93,29.89, ,19.4,2, ,29.19,-RA,94846,190, ,2, ,6,69, , ,9.0,20.6, ,11, , ,68, , 
18,2015-08-19 02:00:00,20150819, , , ,20.0, ,29.66, , , , ,67, ,AA,2015-08-19 02:00:00, , ,FEW049 SCT075 OVC250, , ,90,29.64, ,19.4,2, ,28.95, ,94846,200, ,2, ,10,70, , ,10.0,21.1, ,11, , ,68, , 
19,2015-08-20 02:00:00,20150820, , , ,14.7, ,29.72, , , , ,56, ,SP,2015-08-20 02:00:00, , ,BKN019, , ,81,M, ,13.3,2, ,29.0, ,94846,240, ,2, ,11,62, , ,10.0,16.7, ,11, , ,59, , 
20,2015-08-20 02:00:00,20150820, , , ,14.7, ,29.72, , , , ,56, ,AA,2015-08-20 02:00:00, , ,BKN019 BKN031, , ,81,29.71, ,13.3,2, ,29.0, ,94846,250, ,2, ,18,62,26, ,10.0,16.7, ,11, , ,59, , 
